Customer ID,Recency,Frequency,Monetary,Gender,Location,Age
12608.0,404,1,391.64,Male,Bristol,54.0
12745.0,486,2,548.37,Female,Cork,52.0
12746.0,540,1,197.25,Male,Aberdeen,67.0
12777.0,457,1,382.35,Female,Sheffield,44.0
12819.0,457,1,420.64,Male,Hull,59.0
12820.0,2,11,2100.68,Female,Bristol,42.0
12821.0,213,2,155.9,Male,Winchester,59.0
12822.0,70,2,776.42,Female,Southampton,43.0
12824.0,59,1,343.0,Female,Newport,69.0
12825.0,520,2,416.28,Female,Lincoln,45.0
12826.0,2,12,2371.19,Male,Norwich,24.0
12827.0,5,3,371.3,Male,Bradford,57.0
12828.0,2,6,762.19,Male,Newcastle upon Tyne,20.0
12829.0,336,3,244.65,Female,Reading,31.0
12831.0,261,3,361.65,Male,Milton Keynes,20.0
12832.0,31,2,306.03,Male,Hull,68.0
12833.0,144,1,340.29,Male,Belfast,22.0
12834.0,282,1,204.68,Female,Milton Keynes,32.0
12837.0,172,2,563.04,Male,Newcastle upon Tyne,47.0
12838.0,33,10,2958.24,Male,Wolverhampton,22.0
12840.0,143,7,3167.97,Female,Glasgow,57.0
12842.0,69,4,1656.83,Male,Coventry,32.0
12844.0,28,4,492.46,Male,Leicester,42.0
12845.0,266,4,338.2,Male,Milton Keynes,42.0
12847.0,21,2,1343.12,Male,London,48.0
12848.0,675,1,187.55,Female,Aberdeen,55.0
12849.0,30,6,2324.14,Female,Wolverhampton,44.0
12850.0,445,1,330.0,Female,Newcastle upon Tyne,55.0
12851.0,96,2,223.45,Male,Sheffield,51.0
12852.0,294,1,170.7,Male,Derby,70.0
12854.0,78,7,2276.67,Male,Hull,45.0
12855.0,372,3,381.22,Female,Durham,58.0
12856.0,7,6,1676.93,Male,Bath,50.0
12857.0,210,6,3103.85,Male,Lincoln,41.0
12858.0,382,1,158.32,Male,Newport,67.0
12859.0,458,1,508.35,Female,Salford,48.0
12860.0,692,1,38.12,Male,Oxford,37.0
12861.0,619,1,35.7,Male,Worcester,33.0
12862.0,425,2,866.43,Female,Brighton,55.0
12863.0,51,6,1885.8,Male,Durham,15.0
12864.0,137,2,282.17,Male,Luton,24.0
12868.0,185,8,1837.07,Female,Derby,22.0
12869.0,681,1,223.57,Female,Luton,56.0
12870.0,374,3,1356.81,Female,Stoke-on-Trent,19.0
12871.0,83,3,514.64,Male,Bradford,46.0
12872.0,326,12,2794.99,Male,Swansea,34.0
12873.0,281,3,1648.5,Male,London,32.0
12875.0,142,5,1356.99,Female,Plymouth,18.0
12878.0,235,2,675.61,Male,Sheffield,30.0
12879.0,44,3,380.5,Female,Nottingham,23.0
12880.0,381,2,589.0,Female,Brighton,31.0
12881.0,275,1,281.0,Male,Manchester,33.0
12882.0,8,2,1302.84,Male,Leicester,70.0
12883.0,24,4,489.94,Male,Preston,37.0
12884.0,87,1,309.05,Male,Sunderland,25.0
12885.0,62,3,972.83,Female,Belfast,34.0
12886.0,67,2,1061.08,Male,Salford,25.0
12887.0,383,1,146.1,Male,Oxford,24.0
12888.0,254,1,272.76,Female,Worcester,26.0
12889.0,380,4,315.36,Male,Gloucester,16.0
12890.0,23,2,589.09,Female,Preston,62.0
12891.0,185,7,556.5,Female,Leeds,43.0
12892.0,396,1,232.18,Female,Chelmsford,49.0
12893.0,30,1,143.58,Male,Manchester,65.0
12894.0,574,1,114.7,Male,Newcastle upon Tyne,63.0
12895.0,41,2,296.6,Female,Belfast,15.0
12897.0,204,4,372.95,Female,Glasgow,20.0
12898.0,463,2,284.02,Female,Cambridge,38.0
12899.0,413,1,236.55,Male,Bath,34.0
12900.0,421,1,306.85,Female,Salford,46.0
12902.0,264,1,70.94,Male,Edinburgh,41.0
12903.0,428,1,726.33,Male,Belfast,57.0
12904.0,17,2,447.81,Female,Exeter,36.0
12905.0,576,2,865.37,Female,Glasgow,57.0
12906.0,11,5,2369.77,Female,Worcester,39.0
12907.0,395,2,448.81,Female,Bath,19.0
12908.0,312,3,954.0,Male,Leicester,34.0
12909.0,39,8,2593.03,Female,York,21.0
12911.0,551,1,1290.09,Male,York,51.0
12912.0,2,5,1405.56,Female,Brighton,36.0
12914.0,400,1,189.78,Female,Worcester,24.0
12915.0,148,4,864.05,Female,Oxford,67.0
12919.0,7,6,996.8,Male,Sunderland,35.0
12920.0,16,4,409.16,Female,Wolverhampton,70.0
12922.0,160,1,304.79,Male,Glasgow,49.0
12923.0,63,3,618.37,Female,Brighton,44.0
12924.0,87,12,2167.8,Male,Norwich,53.0
12925.0,4,3,543.69,Male,York,24.0
12926.0,410,4,1238.02,Female,Belfast,46.0
12927.0,394,1,156.51,Female,Edinburgh,27.0
12928.0,34,11,3151.22,Female,Nottingham,66.0
12929.0,311,1,107.65,Male,Birmingham,68.0
12930.0,77,2,372.9,Male,Leicester,16.0
12932.0,538,8,1439.68,Female,Cambridge,55.0
12933.0,23,8,1403.18,Male,York,64.0
12934.0,736,1,101.7,Female,Exeter,40.0
12936.0,16,3,735.46,Female,Salford,39.0
12937.0,14,9,2656.81,Male,Norwich,68.0
12938.0,25,1,88.02,Female,Sheffield,39.0
12940.0,54,2,724.16,Female,Cardiff,29.0
12941.0,723,1,290.91,Female,Hull,20.0
12942.0,130,3,721.95,Male,Cambridge,24.0
12943.0,557,2,449.0,Male,Oxford,66.0
12944.0,35,2,555.91,Female,Reading,34.0
12945.0,287,2,719.61,Female,Glasgow,42.0
12946.0,436,1,274.65,Male,Leeds,53.0
12947.0,143,6,1484.47,Male,Stoke-on-Trent,26.0
12948.0,15,9,1886.3,Female,Belfast,34.0
12950.0,1,3,1813.6,Female,Winchester,53.0
12951.0,8,15,2721.22,Female,Leeds,33.0
12952.0,5,4,1174.75,Female,Belfast,69.0
12953.0,9,2,649.99,Male,Manchester,69.0
12954.0,638,1,152.25,Male,Stoke-on-Trent,45.0
12956.0,305,4,417.94,Male,Winchester,63.0
12958.0,399,2,490.07,Male,Coventry,61.0
12959.0,483,1,136.85,Male,Leeds,28.0
12960.0,413,4,1147.77,Male,Luton,29.0
12961.0,378,1,148.36,Female,Stoke-on-Trent,65.0
12962.0,6,2,214.49,Male,Oxford,47.0
12963.0,7,12,2912.74,Male,Newcastle upon Tyne,54.0
12964.0,436,1,124.29,Female,Luton,41.0
12965.0,88,1,697.46,Male,Derby,68.0
12966.0,9,1,160.18,Female,Sunderland,44.0
12968.0,111,1,74.75,Female,Lincoln,32.0
12969.0,602,1,58.95,Female,Hull,47.0
12970.0,6,9,1283.2,Male,Bradford,50.0
12972.0,413,4,849.09,Female,Liverpool,66.0
12973.0,413,1,385.55,Male,Bristol,58.0
12974.0,197,2,289.03,Female,Manchester,43.0
12975.0,436,6,1821.72,Female,Cardiff,16.0
12976.0,211,8,2513.5,Male,Plymouth,24.0
12977.0,155,4,404.63,Male,Worcester,64.0
12978.0,384,5,2078.87,Female,Belfast,21.0
12981.0,29,2,317.74,Female,Derby,18.0
12982.0,242,8,2263.38,Female,Oxford,60.0
12983.0,597,1,420.3,Female,Cambridge,64.0
12984.0,18,1,60.0,Male,Swansea,43.0
12985.0,0,2,936.22,Female,Bradford,65.0
12986.0,428,10,2304.79,Female,Durham,69.0
12987.0,73,5,1139.71,Male,Stoke-on-Trent,53.0
12988.0,291,1,450.32,Male,Cardiff,59.0
12990.0,30,7,816.4,Female,Leeds,24.0
12991.0,22,3,617.03,Female,Reading,34.0
12992.0,724,1,63.5,Male,Preston,63.0
12993.0,22,8,926.16,Female,Leeds,51.0
12994.0,3,3,794.92,Male,Oxford,21.0
12995.0,84,1,173.16,Male,Derby,63.0
12996.0,375,1,260.6,Male,Reading,16.0
12997.0,21,8,1861.45,Female,Leicester,54.0
12998.0,492,3,723.75,Male,Salford,18.0
12999.0,195,3,382.98,Male,Newcastle upon Tyne,35.0
13000.0,106,4,873.05,Female,Gloucester,15.0
13002.0,317,3,284.0,Female,Sheffield,64.0
13003.0,105,3,134.05,Male,Edinburgh,56.0
13005.0,173,4,785.2,Male,York,31.0
13006.0,55,1,81.57,Female,Exeter,52.0
13007.0,579,1,140.9,Male,Reading,36.0
13008.0,322,3,492.58,Female,Cambridge,32.0
13009.0,672,1,175.5,Female,Coventry,22.0
13010.0,373,2,223.74,Female,Bristol,16.0
13011.0,371,1,101.1,Male,Salford,20.0
13012.0,8,10,2592.96,Male,Wolverhampton,45.0
13016.0,72,3,733.14,Female,Chelmsford,57.0
13019.0,378,6,1107.12,Male,Coventry,26.0
13020.0,562,2,441.76,Male,Bristol,53.0
13023.0,63,3,898.28,Male,Swansea,65.0
13024.0,470,2,482.82,Female,Bradford,16.0
